기준일자,제품코드,창고,기초재고,입고,출고,예상재고
2026-09-23,101001911,LA,14565.0,0.0,0.0,14565.0
2026-09-23,101002188,Chicago,118.0,0.0,0.0,118.0
2026-09-23,101002188,Cranbury,462.0,0.0,0.0,462.0
2026-09-23,101002188,Texas,198.0,0.0,0.0,198.0
2026-09-23,101002379,LA,18974.0,0.0,1280.0,17694.0
2026-09-23,101002381,Cranbury,147.0,0.0,0.0,147.0
2026-09-23,101002381,LA,2884.0,0.0,0.0,2884.0
2026-09-23,101002381,Texas,975.0,0.0,0.0,975.0
2026-09-23,101002402,Chicago,631.0,0.0,0.0,631.0
2026-09-23,101002402,Cranbury,320.0,0.0,0.0,320.0
2026-09-23,101002402,LA,10.0,0.0,0.0,10.0
2026-09-23,101002612,Chicago,1287.0,0.0,0.0,1287.0
2026-09-23,101002612,Cranbury,3785.0,0.0,0.0,3785.0
2026-09-23,101002612,LA,97995.0,0.0,600.0,97395.0
2026-09-23,101002612,Texas,3775.0,0.0,0.0,3775.0
2026-09-23,101002613,LA,68.0,0.0,0.0,68.0
2026-09-23,101002622,LA,30354.0,320.0,320.0,30354.0
2026-09-23,101002640,Chicago,108.0,0.0,0.0,108.0
2026-09-23,101002640,Cranbury,245.0,0.0,0.0,245.0
2026-09-23,101002640,LA,8472.0,360.0,225.0,8607.0
2026-09-23,101002640,Texas,408.0,0.0,0.0,408.0
2026-09-23,101002715,Chicago,960.0,0.0,0.0,960.0
2026-09-23,101002715,Cranbury,7785.0,0.0,0.0,7785.0
2026-09-23,101002715,LA,79852.0,0.0,0.0,79852.0
2026-09-23,101002715,Texas,817.0,0.0,0.0,817.0
2026-09-23,101002716,Cranbury,715.0,0.0,0.0,715.0
2026-09-23,101002716,LA,15518.0,0.0,0.0,15518.0
2026-09-23,101002716,Texas,809.0,0.0,0.0,809.0
2026-09-23,101002717,Chicago,98.0,0.0,0.0,98.0
2026-09-23,101002717,Cranbury,1719.0,0.0,0.0,1719.0
2026-09-23,101002717,LA,12591.0,0.0,0.0,12591.0
2026-09-23,101002717,Texas,38.0,0.0,0.0,38.0
2026-09-23,101002844,LA,843.0,0.0,144.0,699.0
2026-09-23,101002859,Chicago,1293.0,0.0,0.0,1293.0
2026-09-23,101002859,Cranbury,2460.0,0.0,0.0,2460.0
2026-09-23,101002859,LA,47040.0,6480.0,2185.0,51335.0
2026-09-23,101002859,Texas,1422.0,0.0,0.0,1422.0
2026-09-23,101003015,Chicago,843.0,0.0,0.0,843.0
2026-09-23,101003015,Cranbury,1152.0,0.0,0.0,1152.0
2026-09-23,101003015,LA,19063.0,0.0,0.0,19063.0
2026-09-23,101003015,Texas,575.0,0.0,0.0,575.0
2026-09-23,101003028,LA,10878.0,0.0,0.0,10878.0
2026-09-23,101003118,LA,3329.0,0.0,0.0,3329.0
2026-09-23,101003119,LA,7492.0,0.0,0.0,7492.0
2026-09-23,101003122,LA,11617.0,0.0,0.0,11617.0
2026-09-23,101003133,LA,38906.0,0.0,0.0,38906.0
2026-09-23,101003133,TRANSFER,351.0,0.0,0.0,0.0
2026-09-23,101003133,Texas,351.0,0.0,351.0,0.0
2026-09-23,101003207,LA,9441.0,0.0,0.0,9441.0
2026-09-23,101003241,Chicago,5591.0,0.0,0.0,5591.0
2026-09-23,101003241,Cranbury,9602.0,0.0,0.0,9602.0
2026-09-23,101003241,LA,143529.0,0.0,3600.0,139929.0
2026-09-23,101003241,Texas,10112.0,0.0,0.0,10112.0
2026-09-23,101003242,LA,10856.0,0.0,0.0,10856.0
2026-09-23,101003282,LA,26.0,0.0,0.0,26.0
2026-09-23,101003282,TRANSFER,19.0,0.0,0.0,0.0
2026-09-23,101003282,Texas,418.0,0.0,0.0,418.0
2026-09-23,101003346,Chicago,155.0,0.0,0.0,155.0
2026-09-23,101003346,Cranbury,541.0,0.0,0.0,541.0
2026-09-23,101003346,LA,1.0,0.0,0.0,1.0
2026-09-23,101003346,Texas,814.0,0.0,0.0,814.0
2026-09-23,101003347,Chicago,412.0,0.0,0.0,412.0
2026-09-23,101003347,Cranbury,2015.0,0.0,0.0,2015.0
2026-09-23,101003347,LA,10365.0,0.0,288.0,10077.0
2026-09-23,101003347,Texas,1107.0,0.0,0.0,1107.0
2026-09-23,101003359,Chicago,1313.0,0.0,0.0,1313.0
2026-09-23,101003359,Cranbury,1973.0,0.0,0.0,1973.0
2026-09-23,101003359,LA,993.0,0.0,0.0,993.0
2026-09-23,101003359,Texas,279.0,0.0,0.0,279.0
2026-09-23,101003360,Chicago,1338.0,0.0,0.0,1338.0
2026-09-23,101003360,Cranbury,1470.0,0.0,0.0,1470.0
2026-09-23,101003360,LA,4426.0,0.0,0.0,4426.0
2026-09-23,101003449,LA,247.0,0.0,0.0,247.0
2026-09-23,101003457,LA,32600.0,0.0,0.0,32600.0
2026-09-23,101003648,LA,32813.0,0.0,0.0,32813.0
2026-09-23,101003679,LA,449.0,0.0,0.0,449.0
2026-09-23,101003679,TRANSFER,23.0,0.0,0.0,0.0
2026-09-23,101003941,LA,5270.0,1642.0,0.0,6912.0
2026-09-23,101004098,LA,290738.0,8696.0,5760.0,293674.0
2026-09-23,101004125,LA,17742.0,0.0,0.0,17742.0
2026-09-23,101004141,Chicago,1640.0,0.0,0.0,1640.0
2026-09-23,101004141,Cranbury,1518.0,0.0,0.0,1518.0
2026-09-23,101004141,LA,22160.0,0.0,288.0,21872.0
2026-09-23,101004148,LA,5766.0,0.0,0.0,5766.0
2026-09-23,101004157,LA,15.0,0.0,0.0,15.0
2026-09-23,101004174,Chicago,1751.0,0.0,0.0,1751.0
2026-09-23,101004174,Cranbury,3420.0,0.0,0.0,3420.0
2026-09-23,101004174,LA,22794.0,0.0,180.0,22614.0
2026-09-23,101004174,Texas,2873.0,0.0,0.0,2873.0
2026-09-23,101004183,Chicago,918.0,0.0,0.0,918.0
2026-09-23,101004183,Cranbury,720.0,0.0,0.0,720.0
2026-09-23,101004183,LA,6587.0,0.0,270.0,6317.0
2026-09-23,101004189,LA,2087.0,0.0,0.0,2087.0
2026-09-23,101004196,Cranbury,1248.0,0.0,0.0,1248.0
2026-09-23,101004196,LA,23785.0,0.0,0.0,23785.0
2026-09-23,101004196,TRANSFER,96.0,0.0,0.0,0.0
2026-09-23,101004196,Texas,96.0,0.0,96.0,0.0
2026-09-23,101004214,LA,25648.0,0.0,0.0,25648.0
2026-09-23,101004220,LA,8078.0,0.0,0.0,8078.0
2026-09-23,101004224,Chicago,90.0,0.0,0.0,90.0
2026-09-23,101004224,Cranbury,8711.0,0.0,0.0,8711.0
2026-09-23,101004224,LA,153050.0,0.0,0.0,153050.0
2026-09-23,101004224,Texas,2662.0,0.0,0.0,2662.0
2026-09-23,101004226,LA,39.0,0.0,0.0,39.0
